date,state,enrolment_count,coverage_ratio,unique_locations,total_location_updates,location_anomaly_flag,biometric_match_count,demographic_similarity_score,fraud_cluster,fraud_risk_score
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
29-11-2025,Gujarat,24177,0.546397577291629,4,129,1,88,1,0,135.75849819370376
